PK_TILL_SA,C_SAMPLE,Easting,Northing,Ca_pct,Fe_pct,K_pct,Mg_pct,Na_pct,Fe2O3,Na2O,K2O,CaO,MgO,CWI,Fe_react,LITH_ORIG,DIST_LITH_Aal,DIST_LITH_Aam,DIST_LITH_Ab,DIST_LITH_Ac,DIST_LITH_Acg,DIST_LITH_Ag,DIST_LITH_Agb,DIST_LITH_Agbm,DIST_LITH_Agd,DIST_LITH_Agk,DIST_LITH_Agkm,DIST_LITH_Agkx,DIST_LITH_Agn,DIST_LITH_Agnb,DIST_LITH_Agnp,DIST_LITH_Ags,DIST_LITH_Agx,DIST_LITH_Am,DIST_LITH_Amp,DIST_LITH_Ams,DIST_LITH_As,DIST_LITH_Asv,DIST_LITH_Atg,DIST_LITH_Ath,DIST_LITH_Atl,DIST_LITH_Atm,DIST_LITH_Avc,DIST_LITH_Avf,DIST_LITH_Avm,DIST_LITH_Avx,DIST_LITH_PAa,DIST_LITH_PAg,DIST_LITH_PAgt,DIST_LITH_PAm,DIST_LITH_PAt,DIST_LITH_Pa,DIST_LITH_Pal,DIST_LITH_Pg,DIST_LITH_Pgt,DIST_LITH_Pm,DIST_LITH_Po,DIST_LITH_Ppx,DIST_LITH_Psc,DIST_LITH_Psq,DIST_LITH_Pt,DIST_LITH_Pu,DIST_LITH_Pv,MAG_RESID,ELEV_M,SLOPE_DEG,RUGGEDNESS,TWI,DIST_DYKES,DIST_FAULTS,DIST_LINEAM,ALT,MAP,SNOWFALL,MAT,TDD,MAX_SWE,AET,GST,T1M,T2M,T5M,T10M,SM_0_7,SM_7_28,SM_28_100,SM_100_289
429,XT411B,-696254.7672101457,1782342.9881553468,0.5,2.0,,,1.99,,,,,,,,26.0,267615.03125,250552.515625,103337.1328125,227862.484375,97747.125,84593.140625,2304.88623046875,40478.390625,12198.873046875,1250.0,57672.0234375,204420.671875,47909.41796875,67217.0,124728.203125,73580.734375,10784.8271484375,81057.4609375,104230.8125,64417.58203125,97083.0859375,163161.15625,183332.0,19642.111328125,19623.009765625,0.0,94130.890625,31418.544921875,47080.3828125,99136.8984375,263254.28125,257140.53125,157083.578125,8753.5703125,137401.09375,156794.84375,330502.375,151623.296875,243688.96875,64184.3046875,283200.6875,99031.875,148371.359375,139823.109375,194827.640625,178822.71875,212668.3125,-27.089012145996094,444.7727661132813,1.2027206420898438,5.30059289932251,12.643051147460938,250.0,750.0,3881.043701171875,0.6666666865348816,296.1140951811777,175.45243189951285,-8.500446319580078,1181.4180381042615,101.64490509033205,239.49313513374867,-4.569058418273926,-5.088438034057617,-5.141084671020508,-5.154690742492676,-5.118982315063477,0.2085456266831565,0.20966707932221,0.2050083553206053,0.2437083567920596
430,XT411S,-696348.6974199376,1782367.1310589816,0.5,2.0,,,1.81,,,,,,,,26.0,267615.03125,250552.515625,103337.1328125,227862.484375,97747.125,84593.140625,2304.88623046875,40478.390625,12198.873046875,1250.0,57672.0234375,204420.671875,47909.41796875,67217.0,124728.203125,73580.734375,10784.8271484375,81057.4609375,104230.8125,64417.58203125,97083.0859375,163161.15625,183332.0,19642.111328125,19623.009765625,0.0,94130.890625,31418.544921875,47080.3828125,99136.8984375,263254.28125,257140.53125,157083.578125,8753.5703125,137401.09375,156794.84375,330502.375,151623.296875,243688.96875,64184.3046875,283200.6875,99031.875,148371.359375,139823.109375,194827.640625,178822.71875,212668.3125,-27.089012145996094,444.7727661132813,1.2027206420898438,5.30059289932251,12.643051147460938,250.0,750.0,3881.043701171875,0.6666666865348816,296.1140951811777,175.45243189951285,-8.500446319580078,1181.4180381042615,101.64490509033205,239.49313513374867,-4.569058418273926,-5.088438034057617,-5.141084671020508,-5.154690742492676,-5.118982315063477,0.2085456266831565,0.20966707932221,0.2050083553206053,0.2437083567920596
431,XT412S,-696123.2649618331,1782309.188094425,0.5,2.0,,,1.98,,,,,,,,26.0,267582.0,250522.703125,103585.7109375,228095.65625,97986.2890625,84563.953125,2371.708251953125,40716.2421875,12374.369140625,1060.66015625,57438.01171875,204510.703125,48141.71875,67452.296875,124970.25,73410.234375,10965.8564453125,81102.5546875,104358.15625,64665.00390625,97320.671875,163024.921875,183563.515625,19827.380859375,19830.53125,0.0,93896.5546875,31667.21484375,47320.71484375,98891.671875,263497.875,257374.359375,156836.890625,8750.0,137640.84375,157040.0,330752.375,151650.296875,243915.203125,63994.62890625,283088.0,99006.3125,148381.6875,139840.3125,194983.328125,178880.546875,212843.84375,-29.019798278808597,448.925048828125,1.2686214447021484,4.640091896057129,10.430206298828123,353.55340576171875,750.0,3952.84716796875,0.6666666865348816,296.0104803578837,175.29621541384307,-8.502842903137207,1181.148493035431,101.6176300048828,239.6707165766182,-4.570653438568115,-5.090234756469727,-5.142599105834961,-5.156164646148682,-5.12069845199585,0.2087955654203125,0.2099345889732661,0.205283881448714,0.2439650038234782
432,P0001S,-695770.823296773,1786734.7298449776,0.5,2.0,,,1.94,,,,,,,,10.0,263336.28125,246273.21875,103470.40625,229894.0,97077.609375,88759.859375,1677.051025390625,39777.5078125,15592.4658203125,0.0,58843.01171875,200644.59375,44654.92578125,66380.0625,126340.0703125,70180.5703125,14357.0537109375,85328.7734375,108158.4453125,65652.96875,96325.296875,159337.6875,185438.15625,17492.85546875,21601.50390625,250.0,92262.1953125,31765.744140625,46579.234375,99563.109375,264728.625,256137.78125,157262.71875,13002.4033203125,139142.46875,158170.984375,331045.6875,147454.4375,242365.9375,66663.8046875,279185.96875,103211.5546875,144146.625,135619.1875,191836.1875,183023.390625,210018.15625,-28.775959014892575,422.16693115234375,1.045987248420715,3.649463891983032,11.31637477874756,559.0169677734375,500.0,250.0,0.7016390562057495,296.4097166486249,173.6586527487746,-8.555895805358887,1175.044269225349,102.23133087158205,238.5857482407464,-5.318055152893066,-5.821463108062744,-5.846795082092285,-5.877636909484863,-5.93028736114502,0.2099547522341228,0.2097799940746322,0.2041885697617365,0.2442855698087857
433,P0002S,-696028.7144766297,1786650.8123551328,0.5,3.0,,,1.53,,,,,,,,10.0,263369.625,246303.296875,103220.9375,229662.390625,96835.5546875,88786.9609375,1457.7379150390625,39535.5859375,15429.2744140625,0.0,59070.40234375,200552.515625,44689.203125,66140.0,126100.15625,70358.015625,14214.869140625,85285.1796875,108035.0078125,65408.33203125,96084.6015625,159476.6875,185208.671875,17278.9609375,21501.453125,500.0,92500.0,31515.869140625,46333.70703125,99806.0625,264485.9375,255902.5625,157512.703125,13000.0,138904.875,157927.203125,330795.71875,147426.25,242138.0,66844.96875,279300.03125,103235.46875,144135.5625,135600.984375,191677.625,183017.25,209839.96875,-28.449451446533203,426.179443359375,0.9245124459266664,3.314860820770264,10.746702194213867,707.1068115234375,500.0,250.0,0.7109912633895874,296.3857095086191,173.78450474227893,-8.552836418151855,1175.371425861747,102.20455932617188,238.4874215220004,-5.540473461151123,-6.005156993865967,-6.032188415527344,-6.057654857635498,-6.107082366943359,0.2098338502292739,0.2096532265984379,0.2040721276885598,0.2441567373267575
434,P0003S,-696277.2125878934,1786564.4804198977,0.5,3.0,,,1.47,,,,,,,,10.0,263403.21875,246333.609375,102971.4765625,229430.8125,96593.5390625,88814.765625,1250.0,39293.765625,15268.431640625,0.0,59297.9765625,200460.71875,44724.8515625,65900.015625,125860.2890625,70535.8984375,14075.6884765625,85242.3046875,107912.0,65163.734375,95843.9453125,159615.953125,184979.21875,17066.048828125,21403.85546875,750.0,92737.8671875,31265.99609375,46088.23046875,100049.046875,264243.25,255667.390625,157762.671875,13002.4033203125,138667.3125,157683.421875,330545.75,147398.484375,241910.109375,67026.578125,279414.21875,103259.984375,144124.953125,135583.234375,191519.25,182960.71875,209661.9375,-27.91515350341797,428.7493591308594,1.2893216609954834,5.449916839599609,9.31540298461914,901.3878173828124,559.0169677734375,250.0,0.710422158241272,296.3920289616792,173.93184814155785,-8.550436019897461,1175.6391139079578,102.17901611328124,238.22128283613924,-5.5191192626953125,-5.977195739746094,-6.005828857421875,-6.031649112701416,-6.08070182800293,0.2093043700223914,0.209113056401306,0.2035627032371793,0.2435838036779742
435,P0004S,-696527.9928980687,1786488.7486192952,0.5,2.0,,,1.95,,,,,,,,10.0,263684.71875,246612.296875,102738.75,229105.046875,96414.796875,88594.9375,901.3878173828124,39109.62109375,14916.43359375,0.0,59423.26953125,200601.90625,45009.02734375,65730.984375,125550.0390625,70889.4375,13729.5302734375,84953.6640625,107571.484375,64867.65234375,95671.640625,159962.890625,184650.515625,16988.966796875,21540.66015625,901.3878173828124,93052.7421875,31009.0703125,45891.17578125,100233.7890625,263940.5625,255517.25,158009.6875,12759.7998046875,138351.90625,157384.28125,330291.71875,147619.65625,241785.28125,67037.765625,279750.90625,103036.3984375,144364.5625,135815.359375,191554.828125,182660.890625,209659.84375,-26.464433670043945,424.2856750488281,1.5023268461227417,5.626478672027588,10.261055946350098,1118.033935546875,500.0,0.0,0.7057390213012695,296.6341343759109,174.19108596986672,-8.545315742492676,1176.2239877838842,102.15188598632812,237.8854510368089,-5.501438617706299,-5.875905990600586,-5.916763305664063,-5.950264930725098,-5.996671676635742,0.2083997893198704,0.2082657135170498,0.2028054370806434,0.2426610517290595
436,P0005S,-696761.4620903232,1786398.553588877,0.5,2.0,,,1.95,,,,,,,,10.0,263718.71875,246643.09375,102489.328125,228873.46875,96173.0234375,88624.203125,707.1068115234375,38866.7578125,14758.4716796875,0.0,59651.59375,200510.75,45047.19921875,65491.41015625,125310.1171875,71067.75,13594.576171875,84912.0859375,107449.1171875,64622.9453125,95431.2578125,160102.5,184421.046875,16779.82421875,21449.068359375,1118.033935546875,93290.5390625,30759.14453125,45646.05859375,100476.984375,263697.875,255282.203125,158259.671875,12772.0400390625,138114.3125,157140.46875,330041.75,147592.765625,241557.578125,67220.71875,279865.375,103062.1796875,144354.8125,135798.5625,191397.0,182603.734375,209482.25,-25.26740455627441,426.2760925292969,1.7984274625778198,6.600883483886719,9.675594329833984,901.3878173828124,500.0,0.0,0.7037728428840637,296.73813142112874,174.36329994468932,-8.543469429016113,1176.4407284518718,102.17498779296876,237.41902262298152,-5.663363456726074,-5.958333969116211,-6.007518291473389,-6.0515618324279785,-6.096450328826904,0.2073903063809477,0.2072364007794743,0.2018263664923553,0.2415654870462258
437,P0006S,-697007.5458396209,1786321.6144274997,0.5,2.0,,,2.14,,,,,,,,10.0,263752.96875,246674.125,102239.9140625,228641.921875,95931.2890625,88654.171875,559.0169677734375,38623.98828125,14603.08203125,0.0,59880.08984375,200419.875,45086.72265625,65251.9140625,125070.2265625,71246.4921875,13455.9462890625,84871.2265625,107327.1875,64378.27734375,95190.9296875,160242.390625,184191.640625,16571.8125,21302.875,1346.291259765625,93528.40625,30509.220703125,45400.9921875,100720.21875,263455.15625,255047.171875,158509.65625,12789.1552734375,137876.75,156896.65625,329791.78125,147566.296875,241329.90625,67404.1015625,279980.03125,103088.5546875,144345.5,135782.21875,191239.375,182538.515625,209304.796875,-22.357990264892575,427.1347351074219,1.5991222858428955,6.247237682342529,10.198585510253906,707.1068115234375,500.0,0.0,0.7025735378265381,296.95462245119217,174.53701276457747,-8.542330741882324,1176.5953812626926,102.22500610351562,236.940134777388,-5.703950881958008,-5.969195365905762,-6.023675918579102,-6.073951721191406,-6.120494365692139,0.2063529118855867,0.2061778516737507,0.2008181028933082,0.2404394102698337
438,P0007S,-697263.0226937721,1786247.0894903643,0.5,2.0,,,2.27,,,,,,,,10.0,264035.03125,246953.4375,102007.96875,228316.125,95753.9140625,88436.7734375,250.0,38442.328125,14252.1923828125,0.0,60008.33203125,200562.328125,45374.140625,65085.0390625,124760.0234375,71600.015625,13107.7265625,84584.28125,106987.1484375,64082.46484375,95020.0625,160589.53125,183862.890625,16507.57421875,20953.818359375,1030.7763671875,93843.2890625,30254.1328125,45206.47265625,100906.203125,263152.53125,254897.65625,158718.5,12562.3447265625,137561.34375,156597.609375,329537.9375,147788.90625,241205.828125,67418.9296875,280316.90625,102867.0234375,144586.484375,136015.859375,191276.3125,182232.171875,209303.90625,-18.34267807006836,433.2497863769531,1.538784384727478,5.92333984375,9.13845443725586,559.0169677734375,250.0,0.0,0.6994696855545044,297.35597098936114,174.81080804502267,-8.538955688476562,1177.0246704771723,102.30699157714844,236.4829881036167,-5.433605194091797,-5.73195743560791,-5.797405242919922,-5.855234146118164,-5.915019512176514,0.2051765519835081,0.2050458206702285,0.1997765555109936,0.2392195545683671
